complexity_score,story_points,number_of_dependencies,risk_score,team_seniority_avg,sprint_velocity_last_3,complexity_x_risk,actual_effort_hours,actual_duration_days
4,8,4,0.23251263289633883,4.96927053439699,42.214123735592935,0.9300505315853553,62.164503370465674,7.838818057164654
3,2,3,0.22234518111376567,4.1116873633272375,30.570545196901538,0.667035543341297,32.007707244103145,3.7764786168281534
4,3,3,0.38138995736807957,1.8924492927505123,28.58732956000152,1.5255598294723183,45.08958619577466,15.026271728165066
4,13,2,0.672023113212752,3.4924909583769423,34.502458524051676,2.688092452851008,59.74282161147656,10.926748161762728
1,1,1,0.6881256130961884,2.1798272426570118,27.398985589207527,0.6881256130961884,25.245059088188157,5.6115279151066355
5,8,6,0.9761167400402896,1.1207062116651318,24.47807798673653,4.880583700201448,92.73805391543074,57.08653853396823
4,8,1,0.20241543392181405,1.7192914226233342,13.719475307019586,0.8096617356872562,50.66337016229235,21.13613188890525
4,5,0,0.3928591518569807,1.4103742890553654,19.507372421712894,1.571436607427923,52.62987755125046,31.81792056196625
2,2,2,0.9646774979390604,1.7837302142727767,54.854063611115244,1.9293549958781209,33.61303340252149,10.052061503489568
3,3,3,0.6900087426655521,4.182417685796014,28.434997503702228,2.0700262279966566,44.84961887083847,7.932279648584682
3,8,1,0.5922785248220191,2.171328536121727,54.034602998211454,1.7768355744660576,41.40020475499035,14.554618262464553
5,13,2,0.5396460514013469,4.028159803780447,39.0315460115558,2.6982302570067347,78.85187061183679,14.067272586697099
3,3,3,0.07551038013625655,4.795450219371084,34.50241978363895,0.22653114040876965,30.55707948757667,3.606521553051451
4,5,3,0.8933738088159103,3.2970924602710987,19.993948831787662,3.5734952352636413,60.4733938265901,10.274392737384591
3,3,1,0.6255052154151076,2.9416357680402183,35.04668895576049,1.876515646245323,40.618180772012565,9.339559644094503
2,1,1,0.571667407928034,4.000508702361055,53.9218376696823,1.143334815856068,26.071802058834063,4.403517675620413
3,3,5,0.5395003433218426,1.38836055957236,50.57636744016739,1.6185010299655278,49.87110145249871,21.937703902588645
1,3,1,0.3919142073211117,2.7128483499395406,37.74238652697579,0.3919142073211117,16.75166106993427,4.914200454488758
4,13,4,0.25466469136089276,2.9952983797282426,23.513316340949842,1.018658765443571,71.33841463098278,14.923403001938421
3,3,2,0.7553219853344842,4.324205241593511,25.428346547508475,2.265965956003453,42.43010977906471,4.6833454184242465
4,8,0,0.5095675177616621,4.2568706409251975,26.474081566075398,2.0382700710466484,47.182283836521044,7.140857368907137
3,8,1,0.03393953228922031,4.393061439399925,47.78154927362701,0.10181859686766093,29.52954236774459,4.804072760678533
5,8,2,0.39909449977216327,3.7914917114708073,51.31720436108759,1.9954724988608163,72.91834976585368,13.479063480965081
4,13,0,0.9286036382228325,3.1222232287393505,36.95892834967586,3.71441455289133,63.30942908178013,14.195727507357786
4,13,1,0.37389456154086287,4.311517285373529,31.969195644768465,1.4955782461634515,54.97011011621892,10.40450754838008
2,1,4,0.4132330079255737,4.4931296610210785,50.487104966609834,0.8264660158511474,29.3748939964615,3.629669830939405
3,2,2,0.6239611230550356,2.921938370635255,25.21426459135045,1.871883369165107,40.497188090962275,8.652552695898049
1,2,0,0.8016748038158823,4.9426476315550865,35.518233276003656,0.8016748038158823,16.790129257027008,2.789514089046108
2,1,2,0.6684611177047122,4.499272499916715,39.6296599954613,1.3369222354094243,31.548333866037154,3.295101923945831
4,5,1,0.8500547311229465,3.0418786616856317,26.371993928236005,3.400218924491786,60.23550034320309,13.095055217435124
4,5,3,0.11397058704069829,1.2771503813884255,28.640857786086926,0.45588234816279316,55.108002002404156,34.068820213817474
5,8,2,0.9245925533186489,1.897968203487585,27.862624208123968,4.622962766593244,85.22974411603808,35.388821967224054
3,2,3,0.903921932411386,4.1055943175051395,49.16726855988085,2.711765797234158,44.485550290320646,7.938825664796502
3,3,4,0.5191485865855878,1.444617027994739,54.14367277057088,1.5574457597567635,49.898850713615886,25.39507918292565
3,3,1,0.6247422377872011,2.8792002652770528,36.14792530236561,1.8742267133616033,41.44392355745769,8.097691007975328
2,1,2,0.21281305020140173,3.41940876841891,32.31781412957213,0.42562610040280346,25.70280047657845,6.043340056122682
2,1,2,0.4479474379813889,4.5133873134820615,29.00158925006704,0.8958948759627778,27.06729409206415,3.278384808022911
3,3,5,0.20270336091981234,4.38845545157392,35.01746313450329,0.608110082759437,43.205463607210845,5.4407377146032925
2,1,1,0.021976678941019512,4.057111684238931,29.497782485632104,0.043953357882039024,22.572289584846587,3.92488918644629
4,8,1,0.9809030681270525,2.630776970444796,34.029697576447795,3.92361227250821,59.25985105834012,13.90652694038932
3,3,2,0.2591465157102051,1.5689970173691883,39.132328230039235,0.7774395471306152,36.41760449722672,15.953594930201508
4,5,1,0.5931083088978353,3.6785972382313914,30.94687057209632,2.372433235591341,49.467158475904725,9.544123945783944
4,8,2,0.30025038353786304,1.7251544899538906,33.10411937385903,1.2010015341514522,54.18557132029445,26.524293151610472
3,2,2,0.3706216202104349,3.245257933634463,33.145455149276955,1.1118648606313046,26.87350857528682,5.879730644124193
4,8,3,0.3977615585822748,4.9227127298533775,31.82436565273861,1.5910462343290992,60.50387356400967,7.43361345341984
4,5,4,0.3350467313247577,3.2012391032290983,30.58552122983789,1.3401869252990308,52.11388789872767,11.954131653477301
3,3,1,0.6373997593399358,3.58222746904179,42.62196602936806,1.9121992780198074,37.17037721422175,6.054498193352522
2,3,2,0.9609362704886061,3.7103018876646954,17.292639710235576,1.9218725409772122,29.095621959327275,5.943981047006082
4,5,3,0.428634650006233,4.32155343070202,50.74279859001263,1.714538600024932,55.31222851405718,8.61548770181085
2,1,1,0.9733267240542651,2.739922712428195,36.355294632029974,1.9466534481085302,27.97994601012931,7.216998014384932
2,1,4,0.6677972373447831,2.990039604209991,41.10017575986515,1.3355944746895663,30.594553129960772,4.99944464326441
1,1,2,0.607136195021009,1.7038880556983598,42.250777831488755,0.607136195021009,24.858195894124584,6.808247395398012
4,8,4,0.23710385179892302,3.458719550950008,27.919408399694287,0.9484154071956921,55.13399950374128,8.233696592387794
4,5,3,0.06292070589938081,2.183032025297557,25.856414438207583,0.25168282359752325,48.468654293877094,18.677670382997654
4,3,2,0.8519347702918288,3.0304989955547983,24.67730715346173,3.4077390811673154,56.5317129524962,10.294374884709235
4,13,7,0.573981063944269,4.066228774039591,32.529319701714115,2.295924255777076,80.21803906544632,14.596605759033315
3,3,3,0.4144138624248819,1.0702796187279464,41.99204691551029,1.2432415872746456,39.89184373452686,22.455696164370043
3,3,3,0.8119673220884834,3.2556621063374926,29.16237974779176,2.43590196626545,41.66736570482645,8.225086245485311
2,3,2,0.3105803825773188,1.693780069242759,41.079316401783046,0.6211607651546376,28.348097927561714,11.082878394652106
2,3,2,0.7836172559644873,2.1175333591354146,11.320787811388012,1.5672345119289746,36.82872141884422,14.453754219773039
4,13,1,0.327963835405797,1.1388531203479917,31.144327980247503,1.311855341623188,65.86264463618063,41.93529166351179
3,3,3,0.9208811864041636,1.677851040743609,46.67137367611562,2.7626435592124907,45.50502287730306,19.124925470058606
3,3,0,0.26796687445680256,4.946517573148608,33.29028710967064,0.8039006233704077,24.49489173433793,3.943416010375282
4,3,1,0.13755411757457114,4.994091044797248,26.708563638338333,0.5502164702982846,43.69024152245195,5.278312921066212
3,3,1,0.6980967083494118,3.87939167955859,28.43156777862403,2.0942901250482358,44.8184872221075,8.936231747417201
3,5,3,0.16284725306477077,3.4474274190847742,10.0,0.4885417591943123,34.0161460678061,7.467398629534106
3,3,3,0.9493630502889856,4.10802781239706,24.881980295880794,2.848089150866957,43.374038714878075,7.978494852049412
3,5,2,0.655555112388866,4.586217088740646,45.57241372512582,1.966665337166598,42.081464861892584,5.974853868462458
1,2,2,0.23086066128452598,3.0772202382616327,29.173972331037685,0.23086066128452598,15.128384969276926,3.0625052613165233
3,3,3,0.20881893428542875,1.1411359976708049,30.354556379987745,0.6264568028562862,36.93122453957352,18.76064830875083
2,1,2,0.9238750391204216,3.8375832823202107,11.681878129635919,1.8477500782408431,32.60138039353086,4.97780145931199
3,3,1,0.6078579128498909,4.93841000828969,18.691622068874377,1.8235737385496726,40.07577763404915,4.6659114042283365
4,13,6,0.8937360066724167,2.0322118238878453,46.90049178599753,3.574944026689667,76.83090333167611,26.59128643901141
2,3,1,0.11022520484582521,2.8538622618444,41.172940806615614,0.22045040969165042,26.38604051781563,5.952706542396796
1,2,2,0.9253921955791762,2.4450976042051247,22.025609685605687,0.9253921955791762,26.569649892627886,7.713113422376614
2,2,4,0.5200493119940883,2.5618699769194535,28.6942760842678,1.0400986239881767,36.19042103483424,10.106919227160395
2,3,4,0.6684219163313505,3.8855999755014277,34.70827657001217,1.336843832662701,42.47827730153666,6.129604315915203
4,8,3,0.37287547154128065,2.5136175590242003,23.03872267843244,1.4915018861651226,59.7869696780969,13.264780016816019
3,5,0,0.059140322005826196,4.764336501834906,14.95856116486399,0.1774209660174786,24.135887373959974,3.261461370568545
4,8,1,0.9579724413418291,4.158633815054241,33.407896125605646,3.8318897653673165,61.50280633702757,8.713116501135266
4,5,2,0.994598329108482,1.1105881003507805,40.72608562173241,3.978393316433928,62.76370049694418,32.700399547394724
3,3,2,0.36454684876044297,4.274195528134899,40.91857319729954,1.0936405462813288,36.37657922437445,7.116984213415008
4,13,1,0.9438679297519796,4.0914296897546345,43.75237385542146,3.7754717190079186,63.70733877936896,7.993040690896379
2,2,0,0.16772629096156422,3.065974913524934,19.464427382201762,0.33545258192312843,20.160451723700962,5.7139705689894615
1,2,0,0.15468444965857553,2.9872695869856543,35.57901909826939,0.15468444965857553,4.863708635500721,1.1324634021780289
1,1,1,0.07311184000917148,4.342107613867814,32.315486357708785,0.07311184000917148,4.795218921574366,1.0
4,8,3,0.39126940758415074,2.6991411566521397,34.12779314502807,1.565077630336603,52.829032893855015,14.747903592007464
3,5,3,0.052302250181599175,1.6378493731731938,32.88218366365863,0.15690675054479752,38.9999421784667,17.34353545665907
2,2,1,0.39465718961289675,2.2515953313961306,28.395518193924843,0.7893143792257935,18.3046580716818,6.770768909555653
3,3,2,0.13839042864966822,2.0608096134299574,10.0,0.41517128594900465,31.672919887595,8.582525092996601
2,3,0,0.7305277955729573,3.724236118605801,46.618290205706735,1.4610555911459147,20.874610358511088,3.649063244759988
4,5,2,0.833362649336408,1.715493400163381,38.29990165475089,3.333450597345632,65.98868654814797,22.363614419533622
3,5,1,0.687815427796288,3.579089745731228,20.157102124634925,2.0634462833888643,35.68965155467619,4.956526253764002
3,3,1,0.20049415243615587,2.8638677890550475,39.731316529927554,0.6014824573084676,25.94072615196608,5.439674979580823
3,3,7,0.7668481929079557,4.358643717647127,30.5269519299853,2.300544578723867,56.1839322200522,11.007246213810848
3,8,4,0.24950019703327497,2.9399949728698718,30.810276835822698,0.7485005910998249,53.44748075675916,11.804278021178211
3,5,2,0.7594885969685274,4.719215738277532,27.315853985109673,2.2784657909055825,41.43900059590631,7.595645816572908
1,1,2,0.5673975748963909,4.601876511542351,40.36930472652265,0.5673975748963909,18.693083979069844,3.5553127464886947
2,2,2,0.3667125162912097,1.7411503164160913,27.00176428483801,0.7334250325824194,32.983382715377545,18.302770654902865
5,13,2,0.08349237801605769,3.7446654094075345,24.031653139093997,0.41746189008028844,73.67256734791056,16.864871563157426
5,8,4,0.8275095098070258,1.858498996483101,46.317448106059956,4.137547549035129,86.03943317103597,41.78041266879849
4,13,5,0.9396529207982254,4.293217224921831,33.21118590233275,3.7586116831929015,73.81061466870564,12.020625873247507
2,5,3,0.6659177800006375,3.5428926181462765,33.52513610007792,1.331835560001275,37.84947576908321,7.366069777904322
5,8,1,0.9645415666934388,2.1764707771266045,41.92464120276665,4.822707833467194,71.44136285544424,22.850730797078445
4,8,0,0.9341114190429911,1.9964945135340257,28.324132991538235,3.7364456761719644,56.236909196628,18.778725592834196
4,5,1,0.19460840080375363,2.71831062018172,30.318468273531145,0.7784336032150145,51.610010953794514,12.941525266668098
3,3,3,0.7312123485982135,4.202891885844524,38.057152697228354,2.1936370457946404,48.11321409019164,8.492835197489015
2,3,4,0.34930481943769454,4.184646436157807,19.586223975362344,0.6986096388753891,32.59958242401568,4.830637068366582
1,3,1,0.487517360565626,1.1335049022197419,37.210990467682144,0.487517360565626,14.881737679426168,6.943961322750447
5,8,2,0.15696543114884576,2.2091488618836004,27.442885408186328,0.7848271557442288,62.88568615614229,20.012427995245233
3,3,4,0.9747794280576525,2.6914038538788705,43.554725924551484,2.9243382841729577,49.259240679807505,10.93362103064325
2,1,3,0.7261373830764085,3.342328053776973,40.46663326849909,1.452274766152817,31.763045367709346,5.775510717220549
3,3,1,0.2669083096309681,1.5981080352587962,39.1454835697503,0.8007249288929044,29.106692325631784,11.882146698562636
3,5,4,0.3714716901680335,2.341132082115699,18.93041351445443,1.1144150705041005,44.90269426641164,12.07283707136841
2,3,3,0.4224829268287844,4.5423880822718345,33.9660460482618,0.8449658536575688,35.444109556379495,6.068141392453124
4,8,1,0.7475337241438402,2.906190053654598,23.227334395857227,2.990134896575361,59.08077661395291,13.213885442944783
4,13,2,0.9256972667695845,3.9765729041737576,34.631360970229736,3.702789067078338,68.31258020091786,13.446013016253966
4,8,5,0.32144013298457164,2.9391140259853596,11.847203231102611,1.2857605319382865,58.96312920732602,13.787654618747462
3,3,4,0.47250008828041956,2.8599303056018544,19.591677316247573,1.4175002648412587,37.61735882799849,8.652384446902916
3,8,2,0.5932075728347012,3.4877021003340163,46.890336088401874,1.7796227185041036,40.066689669419134,7.84042408782572
3,5,2,0.3933439924003156,2.03745804875847,38.6905317600656,1.1800319772009469,33.98435555543233,8.965444070662569
3,3,3,0.5041813233656852,1.9992083972249999,31.46184152520333,1.5125439700970555,43.3258126034965,15.180319373795886
1,2,3,0.105707629020102,4.957415419566436,25.912566773137776,0.105707629020102,17.08929298162467,2.5908795952855
3,5,2,0.16767438772016607,4.475968037276889,24.157460824129068,0.5030231631604982,29.55409228448727,5.056134560545318
1,1,2,0.4011012572201449,3.951019585798578,37.00155755088526,0.4011012572201449,17.98656488066104,2.4193619784808593
3,3,3,0.9149390117705525,1.548578156222133,31.56367690407654,2.7448170353116574,55.7840205311372,18.54337453137091
3,8,1,0.3493580457446336,1.1208988447390666,50.46647183317276,1.0480741372339009,49.939407043581134,27.310312870315776
2,2,1,0.24979280860501363,1.701650016788372,33.1523627998965,0.49958561721002726,26.21139913817192,12.401880326508152
2,2,3,0.7428622208492759,4.75092385803008,35.58720492244534,1.4857244416985518,30.947598757018877,4.486621744152119
3,8,0,0.9491301660766093,4.265159080995952,21.114965319446288,2.847390498229828,46.02680007666583,6.358229218987977
2,5,0,0.45912361706354743,3.0923040499543055,31.393007748228605,0.9182472341270949,30.05191334369941,5.066852271738244
5,13,0,0.008604955567183104,4.8751223654735085,36.76991405067986,0.04302477783591552,53.19869497744387,6.528464401116991
3,3,3,0.688149331475618,1.586328411609204,31.27214288786813,2.064447994426854,52.3740758043504,19.529292126368762
3,2,0,0.4150608016161449,3.2366017600241475,30.14371466425768,1.2451824048484346,27.330687065436475,6.419561964146744
3,2,5,0.6736455366162152,1.7328885055948393,38.26909625615323,2.0209366098486456,48.653894760146706,21.560736224192066
1,1,1,0.27771651582920354,2.2257144192172236,50.148232815609894,0.27771651582920354,13.884892776346822,3.503961525696697
5,5,4,0.002408143816962416,4.760540075852902,36.449693703078275,0.01204071908481208,64.9983235708488,10.130713759947701
3,5,2,0.34449621874560377,4.473114066194734,46.44186283473138,1.0334886562368113,31.6271289000826,5.173780388624262
4,5,3,0.7047923426129415,1.4071951425223443,41.21602377518782,2.819169370451766,60.49544810260253,23.58860244845437
1,1,1,0.39311328300918924,1.9981752222437539,45.8435337466785,0.39311328300918924,19.500727715539394,6.4243778215540255
3,3,3,0.21917413965322596,3.3780298783282023,28.902800766533623,0.6575224189596779,37.418734426174424,7.7622546743604595
3,5,2,0.4640068641341015,1.2454111493632976,32.930725050155985,1.3920205924023046,44.55238832008131,24.43277065985208
5,5,3,0.7523485232983854,3.2003385894057494,32.97226429235335,3.761742616491927,73.16754023675763,11.330911039062947
3,2,4,0.11943308679230602,3.3379657431760426,40.46277236563976,0.35829926037691806,39.687276062258746,8.082411128799759
3,8,2,0.6917520336466478,2.163868725321838,42.92412822211864,2.0752561009399435,52.80144017180139,17.820180089082704
2,2,2,0.6673440238039473,2.1724919205004936,36.250561911118915,1.3346880476078946,35.625436165870504,13.522565319173278
3,8,1,0.3707378796850713,1.9163170750802831,43.767065773758645,1.112213639055214,42.867086946125355,13.416957582792127
3,3,2,0.9703361913794945,4.742705480784171,29.36668523018627,2.9110085741384832,46.38396967593765,5.986586832864548
3,5,3,0.8947052994803515,2.55548456279631,43.85377552899125,2.6841158984410542,53.87773166779528,13.615093406730539
1,1,2,0.31616148080206985,3.3410762524555615,45.15809442185868,0.31616148080206985,27.802731834838735,5.78999487335327
4,8,2,0.031091093393843083,2.206298297014058,41.774963459246635,0.12436437357537233,55.722888736087945,17.082551153123763
4,13,4,0.30830480674507665,3.810656017659617,36.34169783481213,1.2332192269803066,64.0868772565876,12.228184807755472
2,1,3,0.20472194254104326,1.4057650842345701,42.13323332404966,0.4094438850820865,24.0803934869141,9.49241259391246
3,2,3,0.5472519140475928,1.286566172378656,26.0599553476151,1.6417557421427782,42.56739695547679,23.370401099500036
2,2,5,0.9187444211821546,3.977135042327545,36.98362264360208,1.8374888423643092,40.19611646056957,5.987725620083222
4,8,2,0.8703375100375215,3.9066718332613997,38.00510476825122,3.481350040150086,62.76440931845602,10.480356304121386
2,2,0,0.3058291556648267,2.060005344562649,21.70484336848515,0.6116583113296534,17.595909435876205,7.153385130540493
4,8,1,0.428597533555637,2.4201868508987534,39.745842529395205,1.714390134222548,58.239704058186135,12.678006502815169
4,13,1,0.03654219907956646,4.829042005331289,22.51181274318185,0.14616879631826585,44.177745084290216,5.843230555260212
4,8,1,0.5441635076491494,1.4173211799812573,30.72081702090569,2.176654030596598,50.27896951170953,19.128004151988566
2,3,1,0.06336798005072886,1.732588266186684,35.39760959276298,0.1267359601014577,20.94342007612208,8.243653162506751
5,13,3,0.9386061662290996,2.720153459892933,27.692636153671934,4.6930308311454985,84.25533974068172,23.896500507622633
2,5,1,0.8669338348522723,2.1283956242221005,35.82554038620318,1.7338676697045445,30.271144741052783,9.722970857039275
1,1,4,0.214187626437503,3.5960341945288286,35.6655699043622,0.214187626437503,18.610879865297047,3.389855076905909
3,3,4,0.6993686798620454,3.7624068917867377,26.79818360641159,2.098106039586136,43.0864209943614,9.155812184495348
3,5,2,0.5680203824333331,3.1055523355603807,40.67974458824331,1.7040611472999991,41.65364446414546,9.385048536116344
4,5,3,0.801357712516183,3.4447892056110794,27.358434966937683,3.205430850064732,57.34115113571594,12.461406965228285
4,13,3,0.4756521067515199,2.7336833280813795,57.87974374734695,1.9026084270060797,63.51868217355027,17.152319106155943
3,3,1,0.191771970665778,4.041549014900664,33.90521176669395,0.575315911997334,29.052323402865625,3.354592724559725
5,8,3,0.6398434001228317,1.168393991385079,23.287058550099676,3.1992170006141585,83.68391587842402,47.199560311756905
2,2,2,0.080280326995945,2.2515653466235235,25.156582337862282,0.16056065399189,28.59018784525794,7.096347479536028
3,3,1,0.5845879911684221,3.737720165579576,46.47580464698301,1.7537639735052664,36.041222992140455,5.628704544860533
2,1,3,0.21270480546445758,2.31858043150153,30.90848350281546,0.42540961092891516,27.288521499607736,9.581843628902986
5,13,3,0.6849364371235602,1.3141411217717978,21.362361921700316,3.424682185617801,85.33740167269113,40.85794675209676
2,1,2,0.8280431617281085,2.380053713867101,43.53712747127767,1.656086323456217,34.44306159693183,12.386537827827116
1,1,2,0.10952472928207246,3.845979087154653,30.844261122219173,0.10952472928207246,14.750181842120195,2.0169346655361404
3,3,6,0.40026855214859236,1.487939461013271,41.53419511119351,1.2008056564457772,56.58840101656649,21.232907545693546
5,5,3,0.7335215877759967,3.898525456846618,44.35566025656127,3.667607938879984,65.50909354891961,12.483391386782506
4,8,1,0.1637030615188585,4.101822865430302,37.74463538808545,0.654812246075434,45.86896969345353,7.07331303457548
4,8,3,0.5665236700357131,3.5412029776907956,58.95907395685333,2.2660946801428525,61.103021092948964,12.033540730885917
4,8,1,0.6718389818757231,1.976936194232577,17.752575070667763,2.6873559275028924,57.723682317403245,19.137784331077658
